,model,k,mutations,kept,lost
124,CNN_onehot,1,4,0.9411470890045166,0.9458085298538208
125,CNN_onehot,1,5,0.913137912750244,0.9182201623916626
126,CNN_onehot,1,6,0.880097508430481,0.8871231675148009
127,CNN_onehot,1,7,0.8357996940612793,0.8418254256248474
128,CNN_onehot,1,8,0.7864794135093689,0.80098956823349
129,CNN_onehot,1,9,0.7233842611312866,0.737746000289917
130,CNN_onehot,1,10,0.6667342185974121,0.662225604057312
131,CNN_onehot,1,11,0.5942130088806152,0.599578320980072
132,CNN_onehot,1,12,0.5319183468818665,0.5380083322525024
133,CNN_onehot,1,13,0.456479549407959,0.4576586484909058
134,CNN_onehot,1,14,0.3815769553184509,0.3803331255912781
135,CNN_onehot,1,15,0.3261030912399292,0.3200781047344208
136,CNN_onehot,1,16,0.2561558783054352,0.2501157820224762
137,CNN_onehot,1,17,0.20241254568099976,0.1916894018650055
138,CNN_onehot,1,18,0.15534117817878726,0.13670971989631653
139,CNN_onehot,1,19,0.11594893038272858,0.09535425156354904
140,CNN_onehot_pretrained,1,0,0.9953864812850952,0.9953864812850952
141,CNN_onehot_pretrained,1,1,0.9886683225631714,0.9879639148712158
142,CNN_onehot_pretrained,1,2,0.9776694178581238,0.974332630634308
143,CNN_onehot_pretrained,1,3,0.9631059765815736,0.9545894265174866
144,CNN_onehot_pretrained,1,4,0.9405184388160706,0.9245227575302124
145,CNN_onehot_pretrained,1,5,0.9144859910011292,0.8811905980110168
146,CNN_onehot_pretrained,1,6,0.8806177973747253,0.8267998099327087
147,CNN_onehot_pretrained,1,7,0.8380929827690125,0.7582417726516724
148,CNN_onehot_pretrained,1,8,0.7725179195404053,0.6821744441986084
149,CNN_onehot_pretrained,1,9,0.7170532941818237,0.5861619114875793
150,CNN_onehot_pretrained,1,10,0.6506562829017639,0.487272709608078
151,CNN_onehot_pretrained,1,11,0.5836485624313354,0.3957333266735077
152,CNN_onehot_pretrained,1,12,0.5096264481544495,0.31406697630882263
153,CNN_onehot_pretrained,1,13,0.4413680136203766,0.2375501096248627
