,model,k,mutations,kept,lost
211,CNN_matrix,1,1,0.9355707419511404,0.9088604600194634
212,CNN_matrix,2,1,0.9395546783346173,0.916377421056097
213,CNN_matrix,3,1,0.9295837933489296,0.9060123557772406
214,CNN_matrix,4,1,0.9471821731215686,0.9208718747150728
215,CNN_matrix,5,1,0.9171662974944912,0.8762937376462936
216,CNN_matrix,6,1,0.8384054304344253,0.8308375328832629
217,CNN_matrix,7,1,0.9150077310877036,0.9049827258473476
218,CNN_matrix,8,1,0.8974538316100409,0.8514658490763444
219,CNN_matrix,9,1,0.902653535796866,0.8774943230478801
220,CNN_matrix,0,2,0.8844920373792129,0.8422134839612523
221,CNN_matrix,1,2,0.9271799604330832,0.857887989690616
222,CNN_matrix,2,2,0.9339085446064987,0.8680917363017311
223,CNN_matrix,3,2,0.9218503482285001,0.8494778592996606
224,CNN_matrix,4,2,0.9474382647432071,0.8834050152038805
225,CNN_matrix,5,2,0.9050022756196626,0.8171118019437215
226,CNN_matrix,6,2,0.8278517995710655,0.8140650967997248
227,CNN_matrix,7,2,0.9095596788335691,0.882649900786205
228,CNN_matrix,8,2,0.881372152434455,0.7923668492165228
229,CNN_matrix,9,2,0.8927932088592333,0.8306688309879974
230,CNN_matrix,0,3,0.8716355057676202,0.7947725884879575
231,CNN_matrix,1,3,0.9155173050579108,0.7956025372970902
232,CNN_matrix,2,3,0.9251412487355992,0.7917382688267778
233,CNN_matrix,3,3,0.9134227413729834,0.7593732588318246
234,CNN_matrix,4,3,0.9413408829552692,0.8255290524260471
235,CNN_matrix,5,3,0.8826486010854369,0.7523768559861692
236,CNN_matrix,6,3,0.8264602812547838,0.7933134612243449
237,CNN_matrix,7,3,0.894073913248591,0.8549069962318668
238,CNN_matrix,8,3,0.8703858832665641,0.7386269925364453
239,CNN_matrix,9,3,0.8815146486161857,0.7658956138726722
240,CNN_matrix,0,4,0.8667896634121234,0.7647025344893337
241,CNN_matrix,1,4,0.9127415885459668,0.7418762314527942
242,CNN_matrix,2,4,0.916772809027622,0.7224826530358983
243,CNN_matrix,3,4,0.8999067768941141,0.6925207735784003
