,model,k,mutations,section
450,LSTM_onehot_pretrained,6,stretch_left,0.8654002323069281
451,LSTM_onehot_pretrained,6,stem_left,0.7972946960554369
452,LSTM_onehot_pretrained,6,loop,0.9026319169999336
453,LSTM_onehot_pretrained,6,stem_right,0.7492816647794454
454,LSTM_onehot_pretrained,6,strech_right,0.5000363854156608
455,LSTM_onehot_pretrained,6,pad_right,0.8903602764926001
456,LSTM_onehot_pretrained,7,base,0.931549274189546
457,LSTM_onehot_pretrained,7,pad_left,0.9025072852946312
458,LSTM_onehot_pretrained,7,stretch_left,0.8881066216883912
459,LSTM_onehot_pretrained,7,stem_left,0.8039214884547742
460,LSTM_onehot_pretrained,7,loop,0.9370346981295794
461,LSTM_onehot_pretrained,7,stem_right,0.7738975529044467
462,LSTM_onehot_pretrained,7,strech_right,0.5922609500892104
463,LSTM_onehot_pretrained,7,pad_right,0.9209311907578008
464,LSTM_onehot_pretrained,8,base,0.9260724776923054
465,LSTM_onehot_pretrained,8,pad_left,0.9138891123153696
466,LSTM_onehot_pretrained,8,stretch_left,0.8893336970261878
467,LSTM_onehot_pretrained,8,stem_left,0.8472189287912579
468,LSTM_onehot_pretrained,8,loop,0.9297505059495872
469,LSTM_onehot_pretrained,8,stem_right,0.8256549334443644
470,LSTM_onehot_pretrained,8,strech_right,0.5914126375236384
471,LSTM_onehot_pretrained,8,pad_right,0.9195575015265056
472,LSTM_onehot_pretrained,9,base,0.8612354899437575
473,LSTM_onehot_pretrained,9,pad_left,0.8737048271699579
474,LSTM_onehot_pretrained,9,stretch_left,0.8206208804598085
475,LSTM_onehot_pretrained,9,stem_left,0.7902430131280979
476,LSTM_onehot_pretrained,9,loop,0.8771550488963721
477,LSTM_onehot_pretrained,9,stem_right,0.7705165989584772
478,LSTM_onehot_pretrained,9,strech_right,0.4942674520883971
479,LSTM_onehot_pretrained,9,pad_right,0.8470348800796444
